                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.97414,                0.70216,                0.96208,                0.79955,                0.73825,                 0.8108,                0.59795,                0.82394,                0.55752,                0.91621,               0.002872,               0.002872,               0.002872
                     38,                0.97299,                0.70174,                0.96254,                0.82762,                0.72149,                0.81518,                0.60319,                0.82254,                0.55621,                0.91494,               0.002674,               0.002674,               0.002674
                     39,                0.96377,                0.69355,                0.96143,                 0.8313,                0.72097,                0.81541,                0.60507,                0.82072,                0.55362,                 0.9147,               0.002476,               0.002476,               0.002476
                     40,                0.95798,                0.68918,                0.95766,                0.82647,                0.73113,                0.81821,                0.60551,                0.81952,                0.55176,                0.91333,               0.002278,               0.002278,               0.002278
                     41,                0.91189,                0.63562,                0.94802,                0.82858,                0.72519,                0.81707,                0.60285,                0.81868,                0.55162,                 0.9141,                0.00208,                0.00208,                0.00208
                     42,                 0.8989,                0.62585,                 0.9455,                0.82888,                0.71953,                0.81615,                0.60361,                0.81274,                0.55134,                0.91353,               0.001882,               0.001882,               0.001882
                     43,                0.89068,                0.61494,                0.94301,                0.81656,                0.72766,                0.81227,                0.60096,                  0.811,                0.55072,                0.91361,               0.001684,               0.001684,               0.001684
                     44,                0.88741,                0.61158,                0.94167,                0.80929,                0.73012,                0.81252,                0.60139,                0.81197,                0.55004,                0.91406,               0.001486,               0.001486,               0.001486
                     45,                0.88009,                0.60576,                0.93694,                0.78251,                0.74626,                0.81207,                0.60142,                0.80944,                0.54925,                0.91313,               0.001288,               0.001288,               0.001288
                     46,                 0.8712,                0.59624,                 0.9346,                0.81253,                0.72761,                0.81275,                0.60203,                0.80869,                 0.5487,                0.91277,                0.00109,                0.00109,                0.00109
                     47,                0.86702,                0.59296,                0.93524,                0.81035,                0.72992,                0.81305,                 0.6025,                0.80785,                 0.5482,                0.91263,               0.000892,               0.000892,               0.000892
                     48,                0.85929,                0.58701,                0.93191,                0.80764,                0.73151,                0.81341,                0.60252,                0.80748,                0.54802,                0.91276,               0.000694,               0.000694,               0.000694
                     49,                0.85382,                0.57821,                0.92927,                0.81624,                0.72058,                0.81288,                0.60188,                0.80737,                0.54769,                0.91269,               0.000496,               0.000496,               0.000496
                     50,                 0.8494,                0.57747,                0.92874,                0.82081,                0.71633,                0.81272,                0.60139,                0.80752,                 0.5479,                0.91276,               0.000298,               0.000298,               0.000298
